"N...Region";"Comuna";"Region";"Comuna.1";"Poblacion";"Casos.Nuevos";"Contactos.Nuevos";"X.";"SE"
5;"Papudo";"Valparaiso";"Papudo";6201;"1";"3";"3";94
6;"Navidad";"Del Libertador General Bernardo OHiggins";"Navidad";6904;"1";"3";"3";94
9;"Curacautin";"La Araucania";"Curacautin";18178;"1";"3";"3";94
9;"Los Sauces";"La Araucania";"Los Sauces";7517;"1";"3";"3";94
14;"Lago Ranco";"Los Rios";"Lago Ranco";10292;"1";"3";"3";94
10;"Queilen";"Los Lagos";"Queilen";5543;"2";"6";"3";94
10;"San Pablo";"Los Lagos";"San Pablo";10553;"2";"6";"3";94
11;"Cochrane";"Aisen";"Cochrane";3685;"1";"3";"3";94
12;"Natales";"Magallanes y la Antartica";"Natales";23782;"1";"3";"3";94
13;"Curacavi";"Metropolitana";"Curacavi";36430;"20";"59";"3";94
13;"Padre Hurtado";"Metropolitana";"Padre Hurtado";74188;"58";"171";"2.9";94
13;"San Bernardo";"Metropolitana";"San Bernardo";334836;"149";"439";"2.9";94
13;"Pirque";"Metropolitana";"Pirque";30433;"16";"47";"2.9";94
13;"Puente Alto";"Metropolitana";"Puente Alto";645909;"371";"1049";"2.8";94
13;"Recoleta";"Metropolitana";"Recoleta";190075;"137";"386";"2.8";94
13;"Calera de Tango";"Metropolitana";"Calera de Tango";28525;"16";"45";"2.8";94
12;"Punta Arenas";"Magallanes y la Antartica";"Punta Arenas";141984;"10";"28";"2.8";94
13;"Lo Barnechea";"Metropolitana";"Lo Barnechea";124076;"51";"142";"2.8";94
13;"La Granja";"Metropolitana";"La Granja";122557;"120";"333";"2.8";94
13;"nunoa";"Metropolitana";"nunoa";250192;"101";"279";"2.8";94
13;"Alhue";"Metropolitana";"Alhue";7405;"8";"22";"2.8";94
5;"El Tabo";"Valparaiso";"El Tabo";14338;"15";"41";"2.7";94
13;"Lo Espejo";"Metropolitana";"Lo Espejo";103865;"49";"133";"2.7";94
13;"Colina";"Metropolitana";"Colina";180353;"68";"184";"2.7";94
13;"La Florida";"Metropolitana";"La Florida";402433;"278";"746";"2.7";94
6;"Graneros";"Del Libertador General Bernardo OHiggins";"Graneros";36504;"6";"16";"2.7";94
7;"Sagrada Familia";"Maule";"Sagrada Familia";19469;"3";"8";"2.7";94
10;"Chonchi";"Los Lagos";"Chonchi";16013;"3";"8";"2.7";94
10;"Purranque";"Los Lagos";"Purranque";21080;"3";"8";"2.7";94
13;"Pudahuel";"Metropolitana";"Pudahuel";253139;"186";"483";"2.6";94
5;"Cartagena";"Valparaiso";"Cartagena";25357;"41";"106";"2.6";94
5;"San Felipe";"Valparaiso";"San Felipe";83494;"24";"61";"2.5";94
13;"Penaflor";"Metropolitana";"Penaflor";101058;"97";"243";"2.5";94
13;"San Miguel";"Metropolitana";"San Miguel";133059;"132";"330";"2.5";94
9;"Curarrehue";"La Araucania";"Curarrehue";7802;"2";"5";"2.5";94
9;"Victoria";"La Araucania";"Victoria";35467;"4";"10";"2.5";94
9;"Vilcun";"La Araucania";"Vilcun";30766;"4";"10";"2.5";94
13;"Quinta Normal";"Metropolitana";"Quinta Normal";136368;"134";"331";"2.5";94
13;"Estacion Central";"Metropolitana";"Estacion Central";206792;"97";"237";"2.4";94
6;"Rengo";"Del Libertador General Bernardo OHiggins";"Rengo";63710;"26";"63";"2.4";94
13;"San Jose de Maipo";"Metropolitana";"San Jose de Maipo";18644;"5";"12";"2.4";94
7;"Romeral";"Maule";"Romeral";16170;"10";"24";"2.4";94
13;"Cerro Navia";"Metropolitana";"Cerro Navia";142465;"111";"266";"2.4";94
10;"Castro";"Los Lagos";"Castro";47607;"23";"54";"2.3";94
14;"Paillaco";"Los Rios";"Paillaco";20798;"6";"14";"2.3";94
13;"Macul";"Metropolitana";"Macul";134635;"78";"181";"2.3";94
13;"San Joaquin";"Metropolitana";"San Joaquin";103485;"97";"225";"2.3";94
13;"La Cisterna";"Metropolitana";"La Cisterna";100434;"55";"126";"2.3";94
13;"Quilicura";"Metropolitana";"Quilicura";254694;"138";"316";"2.3";94
7;"Pelluhue";"Maule";"Pelluhue";8092;"15";"34";"2.3";94
7;"Teno";"Maule";"Teno";30850;"4";"9";"2.3";94
13;"Paine";"Metropolitana";"Paine";82766;"37";"83";"2.2";94
16;"El Carmen";"Nuble";"El Carmen";12334;"5";"11";"2.2";94
9;"Galvarino";"La Araucania";"Galvarino";12633;"10";"22";"2.2";94
13;"Cerrillos";"Metropolitana";"Cerrillos";88956;"52";"114";"2.2";94
13;"San Ramon";"Metropolitana";"San Ramon";86510;"64";"139";"2.2";94
1;"Huara";"Tarapaca";"Huara";3000;"6";"13";"2.2";94
