fch_confirmado;txt_regionregistro;txt_nombreregion;id_region;txt_comuna;id_comuna;cant_poblacionregion;cant_poblacioncomuna;cant_casosconfirmados;cant_casosactivos;cant_defunciones;cant_fallecidos;porc_rcori;porc_dercori;cant_casosrecuperados;txt_cuarentenaactiva;txt_alcancecuarentena;num_cluster;num_mediacasosactivos;num_mediacasosconfirmados;num_mediarinstantaneocori;num_mediatasapositividad
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Quillota;5501;1960170;97572;6;0;5;0;;;6;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Calera;5502;1960170;53591;6;0;4;0;;;6;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Hijuelas;5503;1960170;19099;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;La Cruz;5504;1960170;25321;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Nogales;5506;1960170;23490;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;San Antonio;5601;1960170;96761;0;0;9;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Algarrobo;5602;1960170;15174;7;0;;0;;;7;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Cartagena;5603;1960170;25357;0;0;2;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;El Quisco;5604;1960170;17742;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;El Tabo;5605;1960170;14338;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Santo Domingo;5606;1960170;11934;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;San Felipe;5701;1960170;83494;0;0;8;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Catemu;5702;1960170;15213;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Llaillay;5703;1960170;26533;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Panquehue;5704;1960170;7633;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Putaendo;5705;1960170;17645;0;0;3;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Santa Maria;5706;1960170;16367;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Quilpue;5801;1960170;167085;11;0;3;0;;;11;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Limache;5802;1960170;49931;0;0;3;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Olmue;5803;1960170;19266;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Villa Alemana;5804;1960170;139310;6;0;3;0;;;6;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Rancagua;6101;991063;265211;7;0;16;0;;;7;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Codegua;6102;991063;14096;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Coinco;6103;991063;7831;0;0;3;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Coltauco;6104;991063;21263;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Donihue;6105;991063;22700;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Graneros;6106;991063;36504;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Las Cabras;6107;991063;26749;0;0;2;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Machali;6108;991063;59913;0;0;2;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Malloa;6109;991063;14163;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Mostazal;6110;991063;27462;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Olivar;6111;991063;14624;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Peumo;6112;991063;14952;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Pichidegua;6113;991063;20743;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Quinta de Tilcoco;6114;991063;13877;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Rengo;6115;991063;63710;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Requinoa;6116;991063;30371;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;San Vicente;6117;991063;50617;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Pichilemu;6201;991063;17882;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;La Estrella;6202;991063;3114;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Litueche;6203;991063;6765;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Marchihue;6204;991063;7632;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Navidad;6205;991063;6904;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Paredones;6206;991063;6349;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;San Fernando;6301;991063;78642;0;0;4;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Chepica;6302;991063;15925;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Chimbarongo;6303;991063;37696;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Lolol;6304;991063;7289;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Nancagua;6305;991063;19141;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Palmilla;6306;991063;13299;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Peralillo;6307;991063;11848;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Placilla;6308;991063;9164;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Pumanque;6309;991063;3531;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;O'Higgins;08. Región del Libertador Bernardo O'Higgins;6;Santa Cruz;6310;991063;41096;0;0;4;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Talca;7101;1131939;236724;34;0;11;0;;;34;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Constitucion;7102;1131939;50348;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Curepto;7103;1131939;9426;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Empedrado;7104;1131939;4206;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Maule;7105;1131939;60000;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Pelarco;7106;1131939;9083;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Pencahue;7107;1131939;8601;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Rio Claro;7108;1131939;14753;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;San Clemente;7109;1131939;46292;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;San Rafael;7110;1131939;9959;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Cauquenes;7201;1131939;44143;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Chanco;7202;1131939;9331;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Pelluhue;7203;1131939;8092;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Curico;7301;1131939;163626;6;0;3;0;;;6;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Hualane;7302;1131939;10222;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Licanten;7303;1131939;6989;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Molina;7304;1131939;49800;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Rauco;7305;1131939;11248;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Romeral;7306;1131939;16170;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Sagrada Familia;7307;1131939;19469;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Teno;7308;1131939;30850;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Vichuquen;7309;1131939;4381;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Linares;7401;1131939;101073;4;0;3;0;;;4;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Colbun;7402;1131939;22565;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Longavi;7403;1131939;32810;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Parral;7404;1131939;44544;4;0;4;0;;;4;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Retiro;7405;1131939;21071;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;San Javier;7406;1131939;49451;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Villa Alegre;7407;1131939;17512;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Maule;09. Región del Maule;7;Yerbas Buenas;7408;1131939;19200;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Concepcion;8101;1663696;238092;28;0;19;0;;;28;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Coronel;8102;1663696;125829;0;0;4;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Chiguayante;8103;1663696;91180;6;0;;0;;;6;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Florida;8104;1663696;11841;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Hualqui;8105;1663696;26201;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Lota;8106;1663696;45750;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Penco;8107;1663696;49865;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;San Pedro de la Paz;8108;1663696;145906;18;0;3;0;;;18;Cuarentena Activa;Área Urbana Completa;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Santa Juana;8109;1663696;14779;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Talcahuano;8110;1663696;158345;0;0;9;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Tome;8111;1663696;58729;4;0;1;0;;;4;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Hualpen;8112;1663696;97273;0;0;3;0;;;0;Cuarentena Activa;Área Urbana Completa;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Lebu;8201;1663696;27100;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Arauco;8202;1663696;38679;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Canete;8203;1663696;37003;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Contulmo;8204;1663696;6330;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Biobío;11. Región del Bío-Bío;8;Curanilahue;8205;1663696;33892;0;0;2;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
